Videocard Name,Passmark G3D Mark
"Intel 915G,910G Express",4
Intel 915G/915GV/910GL Embedded Controller Functio,4
Intel 945G Embedded Chipset Function 0,4
Intel 946GZ Embedded Chipset,3
Intel 946GZ Express,2
Intel Arc,5490
Intel Arc 130T GPU,6209
Intel Arc 130V GPU,4513
Intel Arc 140T,5634
Intel Arc 140T GPU,6685
Intel Arc 140V GPU,5172
Intel Arc A310,5438
Intel Arc A310 LP,4929
Intel Arc A370M,5115
Intel Arc A380,6295
Intel Arc A380E,6290
Intel Arc A530M,7993
Intel Arc A580,12044
Intel Arc A730M,9808
Intel Arc A750,12590
Intel Arc A770,13322
Intel Arc A770M,11854
Intel Arc B390 GPU,9452
Intel Arc B570,14067
Intel Arc B580,15978
Intel Arc GPU,9348
Intel Arc Pro,5859
Intel Arc Pro 130T GPU,6112
Intel Arc Pro 140T GPU,6697
Intel Arc Pro A40/A50,5652
Intel Arc Pro A60,9493
Intel Arc Pro B50,12483
Intel Arc Pro B60,14059
Intel B43 Express Chipset,138
Intel Coffee Lake UHD,1158
Intel Extreme Controller,1
Intel G33/G31 Express,35
Intel G35 Express,96
Intel G41 Express Chipset,152
Intel G41 Express-Chipsatz,57
Intel G45/G43 Express Chipset,144
Intel G45/G43/G41 Express Chipset,67
Intel G965 Express,195
Intel GMA 3150 Express,2
Intel Graphics,3174
Intel Haswell HD - GT1,123
Intel Haswell HD - GT2,139
Intel HD 2000,213
Intel HD 3000,261
Intel HD 4000,344
Intel HD 4400,529
Intel HD 4600,630
Intel HD 4600 manual-gen9_2015-134121,619
Intel HD 500,302
Intel HD 5000,586
Intel HD 505,360
Intel HD 510,620
Intel HD 515,637
Intel HD 520,861
Intel HD 5200,830
Intel HD 530,990
Intel HD 5300,407
Intel HD 5500,595
Intel HD 5600,1868
Intel HD 6000,873
Intel HD 610,677
Intel HD 615,692
Intel HD 630,1110
Intel HD Family,464
Intel HD Graphics 620,919
Intel HD manual-15.28-1861,62
Intel HD manual-gen9_2015-133271,165
Intel HD Modded,112
Intel HD P3000,282
Intel HD P4000,516
Intel HD P4600,505
Intel HD P4600/P4700,630
Intel HD P530,1153
Intel HD P630,1280
Intel Infoshock HD,193
Intel Iris 5100,728
Intel Iris 540,1269
Intel Iris 550,1446
Intel Iris 6100,899
Intel Iris 650,1432
Intel Iris Plus,1788
Intel Iris Plus 640,1354
Intel Iris Plus 645,1752
Intel Iris Plus 650,1591
Intel Iris Plus 655,1729
Intel Iris Pro 5200,1169
Intel Iris Pro 580,1985
Intel Iris Pro 6100,925
Intel Iris Pro Graphics 6200,1536
Intel Iris Pro P580,2025
Intel Iris Pro P6300,1582
Intel Iris Xe,2620
Intel Iris Xe MAX,1971
Intel Iris Xe MAX 100,1964
Intel Media Accelerator,32
Intel Media Accelerator 3150,2
Intel Media Accelerator 500,3
Intel Media Accelerator 600,6
Intel Media Accelerator HD,110
Intel Poison Ivy,738
Intel Q33 Express,7
Intel Q35 Embedded,8
Intel Q35 Express,58
Intel Q45/Q43 Express Chipset,202
Intel Q45/Q43 Express-Chipsatz,57
Intel Q965/Q963 Express,119
Intel Skylake HD DT GT2,576
Intel UHD 630,614
Intel UHD 770,790
Intel UHD Graphics,1512
Intel UHD Graphics 600,312
Intel UHD Graphics 605,364
Intel UHD Graphics 610,686
Intel UHD Graphics 615,717
Intel UHD Graphics 617,819
Intel UHD Graphics 620,1041
Intel UHD Graphics 630,1230
Intel UHD Graphics 710,1051
Intel UHD Graphics 730,1537
Intel UHD Graphics 750,1701
Intel UHD Graphics 770,1913
Intel UHD Graphics P630,1806
Intel UHD Graphics P750,1668
Intel US15 Embedded Media and Controller,7
ION,108
ION LE,97
L4,10153
L4-1B,1263
L4-1Q,258
L4-2A,3063
L4-2B,1674
L4-2Q,4062
L4-4Q,4942
L4-6Q,4473
L4-8Q,7846
L40-48Q,33269
L40-4Q,32600
L40-8Q,11670
L40S,20022
L40S-12Q,4426
L40S-1Q,2046
L40S-24Q,3257
L40S-4Q,4960
L40S-8Q,5414
LuminonCore IDDCX Adapter,6479
M860G with Mobility Radeon 4100,75
M880G with Mobility Radeon HD 4200,92
M880G with Mobility Radeon HD 4225,71
M880G with Mobility Radeon HD 4250,104
MacroSilicon USB Display Ryzen 7 6800U,3939
Master X3100 Driver,10
Matrox C420 LP PCIe x16,597
Matrox C680 PCIe x16,1803
Matrox C900 PCIe x16,1812
Matrox G200e WDDM 1.2,59
Matrox G200e WDDM 2.0,100
Matrox G200eh,40
Matrox G200eh WDDM 1.2,51
Matrox G200eh WDDM 2.0,54
Matrox G200eR,36
Matrox G200eR WDDM 1.2,45
Matrox G200eR WDDM 2.0,67
Matrox G200eW,39
Matrox G200eW WDDM 1.2,50
Matrox G200eW3 WDDM 2.0,89
Matrox LUMA A310,3690
Matrox LUMA A310F,3873
Matrox LUMA A380P,5811
Matrox M9120 PCIe x16,19
Matrox M9120 Plus LP PCIe x16,25
Matrox M9125 PCIe x16,25
Matrox M9128 LP PCIe x16,31
Matrox M9138 LP PCIe x16,433
Matrox M9140 LP PCIe x16,23
Matrox M9148 LP PCIe x16,40
Matrox M9188 ATX PCIe x16,45
Matrox Millennium P650 PCIe 128,5
Matrox Millennium P690 PCIe x16,366
Matrox Millennium P690 Plus LP PCIe x16,6
Matrox Parhelia 128MB,3
Matrox Parhelia 256MB,9
Matrox Parhelia APVe,5
MEDION RADEON 9800 XXL,71
MEDION RADEON X740XL,94
Meta Virtual Monitor,22443
Meta Virtual Monitor Ryzen 5 5625U,1008
Meta Virtual Monitor Ryzen 7 5700U,2235
Meta Virtual Monitor Ryzen 9 6900HX,5369
Mi Pad 5 Adreno 640 GPU,655
Microsoft Basic Display Adapter Ryzen 7 7730U,291
Miracast display port driver V3,8421
Mirage Driver,1261
MirrorOp Virtual Adaptor,3990
MirrorOp Virtual Adaptor Ryzen 5 7530U,1559
MirrorOp Virtual Adaptor Ryzen 5 PRO 6650U,2542
MirrorOp Virtual Adaptor Ryzen 7 7730U,2265
MirrorOp Virtual Adaptor Ryzen 7 PRO 5850U,1859
MIRRORV3,1080
Mobile Intel - famiglia Express Chipset 45,38
Mobile Intel 4 Express-Chipsatzfamilie,44
Mobile Intel 45 Express,38
Mobile Intel 45 Express-Chipsatzfamilie,117
Mobile Intel 915GM/GMS/910GML Express,1
Mobile Intel 945 Express,1
Mobile Intel 945GM Express,5
Mobile Intel 945GM/GU Express,5
Mobile Intel 965 Express,46
Mobile Intel 965 Express - BR-0907-0461 v1839,8
Mobile Intel 965 Express-Chipsatzfamilie,24
Mobile Intel HD,244
Mobile Intel serie 4 Express,44
Mobile Intel965 Express,17
MOBILITY FIREGL 7800,4
MOBILITY FIREGL T2,40
MOBILITY FIREGL T2/T2e,33
MOBILITY FireGL V3200,62
MOBILITY FireGL V5000,81
MOBILITY FireGL V5200,44
MOBILITY FireGL V5250,27
Mobility FireGL V5725,219
MOBILITY IGP 9000/9100,10
Mobility Radeon 4100,81
MOBILITY RADEON 7000 IGP,6
MOBILITY RADEON 7500,3
MOBILITY RADEON 9000,3
MOBILITY RADEON 9000 IGP,7
MOBILITY RADEON 9000/9100 IGP,5
MOBILITY RADEON 9100 IGP,2
MOBILITY RADEON 9200,3
MOBILITY RADEON 9550,30
MOBILITY RADEON 9600,36
MOBILITY RADEON 9600 PRO TURBO,24
MOBILITY RADEON 9600/9700,39
MOBILITY RADEON 9700,27
MOBILITY RADEON 9800,46
Mobility Radeon HD 2300,50
Mobility Radeon HD 2400,89
Mobility Radeon HD 2400 XT,102
Mobility Radeon HD 2600,167
Mobility Radeon HD 2600 XT,191
Mobility Radeon HD 3400 Serisi,111
Mobility Radeon HD 3410,62
Mobility Radeon HD 3430,98
Mobility Radeon HD 3450,91
Mobility Radeon HD 3470,93
Mobility Radeon HD 3470 Hybrid X2,93
Mobility Radeon HD 3650,139
Mobility Radeon HD 3670,232
Mobility Radeon HD 3850,365
Mobility Radeon HD 3870,547
Mobility Radeon HD 3870 X2,477
Mobility Radeon HD 4200,90
Mobility Radeon HD 4225,66
Mobility Radeon HD 4250,98
Mobility Radeon HD 4270,92
Mobility Radeon HD 4300 Serisi,73
Mobility Radeon HD 4330,135
Mobility Radeon HD 4350,148
Mobility Radeon HD 4550,191
Mobility Radeon HD 4570,149
Mobility Radeon HD 4650,401
Mobility Radeon HD 4670,463
Mobility Radeon HD 4830,511
Mobility Radeon HD 4850,866
Mobility Radeon HD 4870,719
Mobility Radeon HD 5000,773
Mobility Radeon HD 5000 Serisi,478
Mobility Radeon HD 5165,284
Mobility Radeon HD 530v,174
Mobility Radeon HD 540v,188
Mobility Radeon HD 5430,181
Mobility Radeon HD 5450,214
Mobility Radeon HD 545v,199
Mobility Radeon HD 5470,236
Mobility Radeon HD 550v,266
Mobility Radeon HD 5570,525
Mobility Radeon HD 560v,318
Mobility Radeon HD 5650,440
Mobility Radeon HD 565v,353
Mobility Radeon HD 5730,507
Mobility Radeon HD 5850,763
Mobility Radeon HD 5870,1075
Mobility Radeon HD serie 4200,96
Mobility Radeon X1300,39
Mobility Radeon X1350,39
Mobility Radeon X1400,42
Mobility Radeon X1450,33
Mobility Radeon X1600,92
Mobility Radeon X1700,104
MOBILITY RADEON X1800,130
Mobility Radeon X1900,134
Mobility Radeon X2300,48
Mobility Radeon X2300 HD,48
Mobility Radeon X2500,81
MOBILITY RADEON X300,33
MOBILITY RADEON X600,50
MOBILITY RADEON X600 SE,49
MOBILITY RADEON X700,66
MOBILITY RADEON X700 XL,59
MOBILITY RADEON XPRESS 200,27
Mobility Radeon. HD 5470,215
MOBILITY/RADEON 9000,4
MONSTER GeForce GTX 675M,2637
Moore Threads MTT S70,1914
Moore Threads S3000 MTvGPU-1132,1997
MxGPU,1282
N16P-GX,1204
N18E-Q1,2525
nForce 750a SLI,83
nForce 760i SLI,140
nForce 780a SLI,92
nForce 980a/780a SLI,164
NV44,15
NVIDIA A10,21687
NVIDIA A10-4Q,2756
NVIDIA A10G,17660
NVIDIA A40,13900
NVIDIA A40-12Q,4335
NVIDIA A40-4Q,4240
NVIDIA A40-8Q,4681
NVIDIA GeForce3 Ti200,5
NVIDIA TITAN X,13659
NVIDIA TITAN Xp,18790
NVS 2100M,136
NVS 300,120
NVS 310,278
NVS 3100M,120
NVS 315,338
NVS 4200M,308
NVS 510,680
NVS 5100M,199
NVS 5200M,496
NVS 5400M,616
NVS 810,1191
OPAL XT/GL,1053
P102-100,3300
P104-100,3677
P106-090,2466
P106-100,6627
Parsec Virtual Display Adapter,20847
Parsec Virtual Display Adapter Ryzen 5 3400G,2148
Parsec Virtual Display Adapter Ryzen 5 5600GT,2712
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C3 Ryzen,1653
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C7 Ryzen,4338
PHDGD Ivy 4,374
PHDGD Ivy 5,445
PHDGD Quantic C3,116
PHDGD Sapphire GR for Mobile Intel 965,25
PHDGD Solo 1.2.0 x86,11
PHDGD Solo 2 x64,20
Q12U-1,5164
Quadro 1000M,554
Quadro 1100M,755
Quadro 2000,946
Quadro 2000 D,1239
Quadro 2000D,979
Quadro 2000M,757
Quadro 2100M,1100
Quadro 280 NVS PCIe,5
Quadro 3000M,1002
Quadro 400,148
Quadro 4000,1475
Quadro 4000M,1287
Quadro 410,426
Quadro 5000,1963
Quadro 5000M,2059
Quadro 500M,570
Quadro 5010M,1691
Quadro 600,521
Quadro 6000,2691
Quadro 7000,3505
Quadro CX,947
Quadro FX 1000,34
Quadro FX 1100,35
Quadro FX 1300,34
Quadro FX 1400,124
Quadro FX 1500,169
Quadro FX 1500M,171
Quadro FX 1600M,194
Quadro FX 1700,216
Quadro FX 1700M,172
Quadro FX 1800,395
Quadro FX 1800M,485
Quadro FX 2000,18
Quadro FX 2500M,217
Quadro FX 2700,543
Quadro FX 2700M,366
Quadro FX 2800M,414
Quadro FX 3000,69
Quadro FX 3400/4400,104
Quadro FX 3450,148
Quadro FX 3450/4000 SDI,205
Quadro FX 350,85
Quadro FX 3500,265
Quadro FX 3500M,306
Quadro FX 350M,44
Quadro FX 3600M,466
Quadro FX 360M,86
Quadro FX 370,83
Quadro FX 370 Low Profile,102
Quadro FX 370 LP,108
Quadro FX 3700,371
Quadro FX 3700M,450
Quadro FX 370M,93
Quadro FX 380,194
Quadro FX 380 LP,144
Quadro FX 3800,823
Quadro FX 3800M,566
Quadro FX 380M,120
Quadro FX 4000,101
Quadro FX 4500,227
Quadro FX 4500 X2,236
Quadro FX 4600,403
Quadro FX 4700 X2,676
Quadro FX 4800,1006
Quadro FX 500/600 PCI,14
Quadro FX 500/FX 600,7
Quadro FX 540,80
Quadro FX 550,63
Quadro FX 5500,242
Quadro FX 560,113
Quadro FX 5600,525
Quadro FX 570,257
Quadro FX 570M,99
Quadro FX 580,180
Quadro FX 5800,1210
Quadro FX 770M,212
Quadro FX 880M,236
Quadro FX Go1400,101
Quadro GP100,13735
Quadro GV100,19013
Quadro K1000M,756
Quadro K1100M,1089
Quadro K1200,2964
Quadro K2000,1582
Quadro K2000D,1602
Quadro K2000M,1001
Quadro K2100M,1372
Quadro K2200,3580
Quadro K2200M,3534
Quadro K3000M,1619
Quadro K3100M,2273
Quadro K4000,2718
Quadro K4000M,2049
Quadro K4100M,2773
Quadro K420,725
Quadro K4200,4331
Quadro K5000,3989
Quadro K5000M,2804
Quadro K5100M,3263
Quadro K510M,641
Quadro K5200,6148
Quadro K600,722
Quadro K6000,7992
Quadro K610M,713
Quadro K620,2212
Quadro K620M,1159
Quadro M1000M,2843
Quadro M1200,3218
Quadro M2000,4024
Quadro M2000M,3412
Quadro M2200,4290
Quadro M3000M,5572
Quadro M4000,6677
Quadro M4000M,6140
Quadro M5000,9416
Quadro M5000M,7063
Quadro M500M,1171
Quadro M520,1912
Quadro M5500,7915
Quadro M6000,11773
Quadro M6000 24GB,11625
Quadro M600M,2240
Quadro M620,2770
Quadro NVS 110M,47
Quadro NVS 120M,46
Quadro NVS 130M,97
Quadro NVS 135M,50
Quadro NVS 140M,78
Quadro NVS 150M,70
Quadro NVS 160M,145
Quadro NVS 210S,23
Quadro NVS 210S / GeForce 6150LE,20
Quadro NVS 280 PCI,8
Quadro NVS 280 SD,2
Quadro NVS 285,43
Quadro NVS 285 128MB,38
Quadro NVS 290,228
Quadro NVS 295,111
Quadro NVS 320M,208
Quadro NVS 420,137
Quadro NVS 440,37
Quadro NVS 450,66
Quadro NVS 510M,238
Quadro NVS 55/280 PCI,6
Quadro P1000,4496
Quadro P2000,6965
Quadro P2000 with Max-Q Design,5357
Quadro P2200,9391
Quadro P3000,6389
Quadro P3200,8583
Quadro P3200 with Max-Q Design,9077
Quadro P400,1658
Quadro P4000,11427
Quadro P4000 with Max-Q Design,9082
Quadro P4200,10375
Quadro P4200 with Max-Q Design,11562
Quadro P500,1650
Quadro P5000,12712
Quadro P520,2033
Quadro P5200,11598
Quadro P5200 with Max-Q Design,12308
Quadro P600,3318
Quadro P6000,15530
Quadro P620,3700
Quadro RTX 3000,10851
Quadro RTX 3000 with Max-Q Design,8149
Quadro RTX 4000,14921
Quadro RTX 4000 (Mobile),11692
Quadro RTX 4000 with Max-Q Design,12137
Quadro RTX 5000,15440
Quadro RTX 5000 (Mobile),14832
Quadro RTX 5000 with Max-Q Design,12645
Quadro RTX 6000,17912
Quadro RTX 8000,19926
Quadro T1000,6498
Quadro T1000 with Max-Q Design,6700
Quadro T2000,7289
Quadro T2000 with Max-Q Design,6954
Quadro2 MXR/EX,4
Quadro2 Pro,1
Quadro4 380 XGL,6
Quadro4 900 XGL,4
Quadro4 980 XGL,5
Qualcomm Adreno 540 GPU,124
Qualcomm Adreno 618 GPU,128
Qualcomm Adreno 630 GPU,292
Qualcomm Adreno 675 GPU,539
Qualcomm Adreno 680 GPU,891
Qualcomm Adreno 685 GPU,889
Qualcomm Adreno 690 GPU,1071
Qualcomm Adreno 7c Gen 3 GPU,777
Qualcomm Adreno 7c+ Gen 3,699
Qualcomm Adreno 8cx Gen 3,1947
Qualcomm Adreno 8cx Gen 3 GPU,1909
Qualcomm Adreno X1-45 GPU,1886
Qualcomm Adreno X1-85 GPU,3037
QXL KMDOD,18
Racer-Tech USB Display Device,13692
Radeon 2100,59
Radeon 3000,98
Radeon 3015e,351
Radeon 3020e,503
Radeon 3100,73
Radeon 520,873
Radeon 530,1035
Radeon 535,1048
Radeon 535DX,773
Radeon 540,1452
Radeon 540X,1587
Radeon 550,2139
Radeon 550X,1474
Radeon 610M,1155
Radeon 610M Ryzen 9 7845HX,7053
Radeon 610M Ryzen 9 7940HX,1602
Radeon 610M Ryzen 9 7945HX,1750
Radeon 610M Ryzen 9 7945HX3D,1659
Radeon 610M Ryzen 9 8940HX,8138
Radeon 620,953
Radeon 625,1076
Radeon 630,1575
Radeon 6600M,536
Radeon 660M,3220
Radeon 660M Ryzen 3 7335U,2216
Radeon 660M Ryzen 5 6600H,4461
Radeon 660M Ryzen 5 7533HS,3007
Radeon 660M Ryzen 5 7535HS,3025
Radeon 6750M,911
Radeon 680M,3836
Radeon 680M Ryzen 7 7735HS,4330
Radeon 680M Ryzen 9 6900HX,5493
Radeon 7000 / Radeon VE,2
RADEON 7000 / RADEON VE Family,3
RADEON 7200,2
Radeon 740M,3043
RADEON 7500,3
RADEON 7500 Family,4
Radeon 760M,5443
Radeon 780M,6903
Radeon 8040S,10656
Radeon 8050S,16170
Radeon 8060S,18000
Radeon 820M,2120
Radeon 840M,3818
RADEON 8500 Family,6
Radeon 860M,4845
Radeon 880M,7735
Radeon 890M,8166
RADEON 9000,4
RADEON 9000 Family,3
RADEON 9100 Family,6
RADEON 9100 IGP,5
RADEON 9200,3
RADEON 9200 LE Family,2
RADEON 9200 PRO Family,2
RADEON 9200 SE,2
RADEON 9250,2
RADEON 9500,36
RADEON 9500 PRO / 9700,41
RADEON 9550,34
Radeon 9550 / X1050,29
RADEON 9600 Family,25
RADEON 9600 PRO,42
RADEON 9600 PRO Family,26
RADEON 9600 TX Family,18
RADEON 9600 XT,35
RADEON 9600SE,27
RADEON 9700 PRO,53
Radeon 9700 TX w/TV-Out,44
RADEON 9800,57
RADEON 9800 PRO,59
RADEON 9800 SE,23
RADEON 9800 XT,56
RADEON A9800XT,22
Radeon AI PRO R9700,28386
Radeon Athlon 300GE,562
Radeon Athlon Gold 3150U,789
Radeon Athlon Gold PRO 4150GE,1573
Radeon Athlon PRO 3045B,563
Radeon Athlon Silver 3050U,677
RADEON E2400,51
RADEON E4690,405
Radeon E6460,323
Radeon E6465,231
Radeon E6760,850
Radeon E8860,1686
Radeon E8870PCIe,3368
Radeon Eng Sample: 100-000000098-40_39/27_Y,1743
Radeon Eng Sample: 100-000000144-40_38/38_Y,1659
Radeon Eng Sample: 100-000000146-20_37/30_Y,2123
Radeon Eng Sample: 100-000000149-40_40/30_Y,1800
Radeon Eng Sample: 100-000000151-40_38/33_Y,1367
Radeon Eng Sample: 100-000000263-50_Y,3975
Radeon Eng Sample: 100-000000285-30_Y,2639
Radeon Eng Sample: 100-000000546-40_Y,3306
Radeon EPYC 4124P 4-Core,1260
Radeon EPYC 4244P 6-Core,1424
Radeon EPYC 4344P 8-Core,1634
Radeon EPYC 4364P 8-Core,886
Radeon EPYC 4464P 12-Core,1410
Radeon EPYC 4484PX 12-Core,1619
Radeon EPYC 4564P 16-Core,1226
Radeon EPYC 4584PX 16-Core,1661
Radeon HD 2350,76
Radeon HD 2400,120
Radeon HD 2400 PCI,14
Radeon HD 2400 Pro,114
Radeon HD 2400 XT,118
Radeon HD 2600 PRO,211
Radeon HD 2600 Pro AGP,110
Radeon HD 2600 XT,282
Radeon HD 2900 GT,292
Radeon HD 2900 PRO,627
Radeon HD 2900 XT,659
Radeon HD 3000,95
Radeon HD 3200,82
Radeon HD 3300,126
Radeon HD 3450,178
Radeon HD 3470,117
Radeon HD 3650 AGP,150
Radeon HD 3670,168
Radeon HD 3850,401
Radeon HD 3850 AGP,432
Radeon HD 3850 X2,822
Radeon HD 3870,551
Radeon HD 3870 X2,586
Radeon HD 4200,111
Radeon HD 4250,122
Radeon HD 4270,109
Radeon HD 4290,140
Radeon HD 4300/4500 Serisi,155
Radeon HD 4330,134
Radeon HD 4350,165
Radeon HD 4550,235
Radeon HD 4650,248
Radeon HD 4650 AGP,207
Radeon HD 4670,382
Radeon HD 4770,908
Radeon HD 4810,774
Radeon HD 4830,865
Radeon HD 4850,945
Radeon HD 4850 X2,1132
Radeon HD 4870,1386
Radeon HD 4870 X2,1309
Radeon HD 4890,1545
Radeon HD 5450,136
Radeon HD 5470,268
Radeon HD 5550,383
Radeon HD 5570,476
Radeon HD 5600/5700,615
Radeon HD 5670,797
Radeon HD 5750,1169
Radeon HD 5770,1348
Radeon HD 5830,1726
Radeon HD 5850,1954
Radeon HD 5870,2181
Radeon HD 5970,2296
Radeon HD 6230,179
Radeon HD 6250,93
Radeon HD 6290,104
Radeon HD 6290M,140
Radeon HD 6300M,144
Radeon HD 6310,122
Radeon HD 6320,147
Radeon HD 6320 Graphic,216
Radeon HD 6320M,198
RADEON HD 6350,140
Radeon HD 6370D,255
Radeon HD 6370M,275
Radeon HD 6380G,200
Radeon HD 6410D,236
Radeon HD 6430M,192
Radeon HD 6450,197
Radeon HD 6450 + 8470D Dual,762
Radeon HD 6450A,260
Radeon HD 6470M,225
Radeon HD 6480G,256
Radeon HD 6480M,353
Radeon HD 6490M,377
Radeon HD 6520G,300
Radeon HD 6530D,337
Radeon HD 6550A,707
Radeon HD 6550D,400
Radeon HD 6570,555
Radeon HD 6610M,565
Radeon HD 6620G,341
Radeon HD 6630M,684
Radeon HD 6650A,835
Radeon HD 6650M,762
Radeon HD 6670,728
Radeon HD 6670 + 6670 Dual,646
Radeon HD 6670 + 7660D Dual,1492
Radeon HD 6670/7670,945
Radeon HD 6700M,1016
Radeon HD 6750,1046
Radeon HD 6750M,937
Radeon HD 6770,1272
Radeon HD 6770M,964
Radeon HD 6790,1566
Radeon HD 6800M,752
Radeon HD 6850,1938
Radeon HD 6850 X2,2534
Radeon HD 6870,2205
Radeon HD 6900M,1707
Radeon HD 6950,2593
Radeon HD 6970,2828
Radeon HD 6970M,2270
Radeon HD 6990,3013
Radeon HD 7290,111
Radeon HD 7290M,123
Radeon HD 7310,128
Radeon HD 7310 - Carte graphique,174
